name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,tnc,form,phase
kaempferol,C15H10O6,31,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-6.233710422037972,-2.0625623948315686,4.171148027206403,6.233710422037972,2.0625623948315686,4.1481364084347705,2.0855740136032015,0.4794843019127964,-4.1481364084347705,4.125251741426786,0.16107402259113918,-0.5213935034008004,Fe(110),4.82,-4.0674,neutral,gas
kaempferol,C15H10O6,31,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.19258530483249,-2.046899107622288,4.1456861972102015,6.19258530483249,2.046899107622288,4.119742206227389,2.0728430986051007,0.48242918177113364,-4.119742206227389,4.093960574534716,0.16891239723928994,-0.5182107746512752,Fe(110),4.82,-4.4224,neutral,aqueous
kaempferol+H+,C15H11O6+,32,Oc1ccc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)cc1,1,"B3LYP/6-311++G(d,p) (gas)",-9.792657889009147,-6.479905020685981,3.312752868323166,9.792657889009147,6.479905020685981,8.136281454847564,1.656376434161583,0.6037274977932027,-8.136281454847564,19.983101228436862,-1.0010651523565608,-0.41409410854039574,Fe(110),4.82,-3.6079,protonated,gas
kaempferol+H+,C15H11O6+,32,Oc1ccc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)cc1,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.880826466963325,-3.276813924920564,3.604012542042761,6.880826466963325,3.276813924920564,5.078820195941944,1.8020062710213804,0.5549370255150101,-5.078820195941944,7.157137851714424,-0.07181445483961714,-0.4505015677553451,Fe(110),4.82,-4.0136,protonated,aqueous
quercetin,C15H10O7,32,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-6.200564764816623,-2.101436250686526,4.099128514130097,6.200564764816623,2.101436250686526,4.151000507751575,2.0495642570650485,0.48790858669246506,-4.151000507751575,4.203528910098222,0.163205298380453,-0.5123910642662621,Fe(110),4.82,-4.3584,neutral,gas
quercetin,C15H10O7,32,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.134204552528362,-2.051836844687218,4.082367707841144,6.134204552528362,2.051836844687218,4.09302069860779,2.041183853920572,0.48991177256241064,-4.09302069860779,4.103701488490146,0.17807785908062027,-0.510295963480143,Fe(110),4.82,-4.7136,neutral,aqueous
quercetin+H+,C15H11O7+,33,Oc1cc(O)c2c(=[OH+])c(O)c(-c3ccc(O)c(O)c3)oc2c1,1,"B3LYP/6-311++G(d,p) (gas)",-9.46200050383925,-6.471322910552479,2.9906775932867697,9.46200050383925,6.471322910552479,7.966661707195865,1.4953387966433849,0.6687447702451904,-7.966661707195865,21.221845811587336,-1.0521567802090186,-0.3738346991608462,Fe(110),4.82,-4.0661,protonated,gas
quercetin+H+,C15H11O7+,33,Oc1cc(O)c2c(=[OH+])c(O)c(-c3ccc(O)c(O)c3)oc2c1,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.668009950381709,-3.3243572892338173,3.3436526611478916,6.668009950381709,3.3243572892338173,4.996183619807763,1.6718263305739458,0.5981482536267361,-4.996183619807763,7.465443720540602,-0.05269196225282496,-0.41795658264348645,Fe(110),4.82,-4.4377,protonated,aqueous
isorhamnetin,C16H12O7,35,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0,"B3LYP/6-311++G(d,p) (gas)",-5.897371396609248,-1.7814494976982727,4.115921898910976,5.897371396609248,1.7814494976982727,3.8394104471537602,2.057960949455488,0.4859178694642326,-3.8394104471537602,3.581475291261904,0.23824299316896475,-0.514490237363872,Fe(110),4.82,-5.3056,neutral,gas
isorhamnetin,C16H12O7,35,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.0088156529894645,-1.9098384355159401,4.098977217473524,6.0088156529894645,1.9098384355159401,3.9593270442527024,2.049488608736762,0.48792659580399783,-3.9593270442527024,3.8244346849561617,0.20997261269917197,-0.5123721521841905,Fe(110),4.82,-5.5249,neutral,aqueous
isorhamnetin+H+,C16H13O7+,36,COc1cc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)ccc1O,1,"B3LYP/6-311++G(d,p) (gas)",-8.920006889913905,-6.440026427104875,2.4799804628090305,8.920006889913905,6.440026427104875,7.680016658509389,1.2399902314045153,0.8064579660981018,-7.680016658509389,23.78351634600101,-1.1532416087140858,-0.3099975578511288,Fe(110),4.82,-4.6607,protonated,gas
isorhamnetin+H+,C16H13O7+,36,COc1cc(-c2oc3cc(O)cc(O)c3c(=[OH+])c2O)ccc1O,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.426924031643656,-3.295335504723024,3.1315885269206323,6.426924031643656,3.295335504723024,4.86112976818334,1.5657942634603161,0.6386535085331434,-4.86112976818334,7.54587725046839,-0.013133835377722407,-0.39144856586507903,Fe(110),4.82,-4.9928,protonated,aqueous
