name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry,dipole_debye
pyrazolopyrimidine propanoic acid,C15H14N4O3,36,Cc1nn(-c2ccccc2)c2ncnc(OCCC(=O)O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-6.22355265096162,-1.8229481580728164,4.400604492888804,6.22355265096162,1.8229481580728164,4.023250404517219,2.200302246444402,0.4544830155111458,-4.023250404517219,3.678254622428522,0.18105457938115005,-0.5500755616111005,Fe(110),4.82,-27891.53557033874,-3.8126,neutral,gas,FF (MMFF),2.3789209761555687
pyrazolopyrimidine propanoic acid,C15H14N4O3,36,Cc1nn(-c2ccccc2)c2ncnc(OCCC(=O)O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.298363069374149,-1.8273683784763548,4.470994690897794,6.298363069374149,1.8273683784763548,4.062865723925252,2.235497345448897,0.4473277510419928,-4.062865723925252,3.691992281773882,0.16934358647666228,-0.5588743363622243,Fe(110),4.82,-27891.91603311066,-4.0007,neutral,aqueous,FF (MMFF),3.251517714194045
pyrazolopyrimidine propanoic acid+H+,C15H15N4O3+,37,Cc1nn(-c2ccccc2)c2[nH+]cnc(OCCC(=O)O)c12,1,"B3LYP/6-311++G(d,p) (gas)",-9.929591701402906,-6.457771344412556,3.4718203569903494,9.929591701402906,6.457771344412556,8.193681522907731,1.7359101784951747,0.5760666723360536,-8.193681522907731,19.337526137740248,-0.9717327442115429,-0.4339775446237937,Fe(110),4.82,-27901.295591736303,-3.9452,protonated,gas,FF (MMFF),
pyrazolopyrimidine propanoic acid+H+,C15H15N4O3+,37,Cc1nn(-c2ccccc2)c2[nH+]cnc(OCCC(=O)O)c12,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.978455226225586,-3.0706294805774337,3.9078257456481524,6.978455226225586,3.0706294805774337,5.02454235340151,1.9539128728240762,0.5117935471476044,-5.02454235340151,6.460376563422808,-0.05234172829463879,-0.48847821820601905,Fe(110),4.82,-27903.4629570468,-4.2474,protonated,aqueous,FF (MMFF),
pyrazolopyrimidine propanamide,C15H15N5O2,37,Cc1nn(-c2ccccc2)c2ncnc(OCCC(N)=O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-6.176256240369036,-1.7517543947247785,4.424501845644258,6.176256240369036,1.7517543947247785,3.964005317546907,2.212250922822129,0.45202828923416966,-3.964005317546907,3.5514366827554382,0.19346690595140897,-0.5530627307055322,Fe(110),4.82,-27350.705131961866,-4.0454,neutral,gas,FF (MMFF),4.648910847766196
pyrazolopyrimidine propanamide,C15H15N5O2,37,Cc1nn(-c2ccccc2)c2ncnc(OCCC(N)=O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.288905212427131,-1.8086785147417155,4.480226697685415,6.288905212427131,1.8086785147417155,4.048791863584423,2.2401133488427076,0.4464059823207706,-4.048791863584423,3.658903145034216,0.1721359628551833,-0.5600283372106769,Fe(110),4.82,-27351.189930118613,-4.2685,neutral,aqueous,FF (MMFF),6.197538361819941
pyrazolopyrimidine propanamide+H+,C15H16N5O2+,38,Cc1nn(-c2ccccc2)c2nc[nH+]c(OCCC(N)=O)c12,1,"B3LYP/6-311++G(d,p) (gas)",-9.20453728100593,-6.068043961230281,3.1364933197756493,9.20453728100593,6.068043961230281,7.636290621118105,1.5682466598878246,0.6376547934567444,-7.636290621118105,18.591761086341933,-0.8979106071616157,-0.39206166497195616,Fe(110),4.82,-27360.286380582034,-4.2535,protonated,gas,FF (MMFF),
pyrazolopyrimidine propanamide+H+,C15H16N5O2+,38,Cc1nn(-c2ccccc2)c2nc[nH+]c(OCCC(N)=O)c12,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.736043145352118,-2.9015625308102653,3.834480614541853,6.736043145352118,2.9015625308102653,4.818802838081192,1.9172403072709265,0.5215830254598801,-4.818802838081192,6.055803412915101,0.0003122096677887401,-0.47931007681773163,Fe(110),4.82,-27362.595294631938,-4.5621,protonated,aqueous,FF (MMFF),
pyrazolopyrimidine ethyl ester,C17H18N4O3,42,CCOC(=O)CCOc1ncnc2c1c(C)nn2-c1ccccc1,0,"B3LYP/6-311++G(d,p) (gas)",-6.217514225414762,-1.8165917102171072,4.400922515197655,6.217514225414762,1.8165917102171072,4.017052967815935,2.2004612575988274,0.4544501733655667,-4.017052967815935,3.666666361544444,0.18244970898970797,-0.5501153143997068,Fe(110),4.82,-30031.34502495696,-4.3743,neutral,gas,FF (MMFF),2.605294055983447
pyrazolopyrimidine ethyl ester,C17H18N4O3,42,CCOC(=O)CCOc1ncnc2c1c(C)nn2-c1ccccc1,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.292747548905606,-1.8221922961522101,4.470555252753396,6.292747548905606,1.8221922961522101,4.057469922528908,2.235277626376698,0.4473717216151637,-4.057469922528908,3.6825542335232764,0.1705671967707934,-0.5588194065941745,Fe(110),4.82,-30031.674801420228,-4.5646,neutral,aqueous,FF (MMFF),3.350790736910115
