name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry
pyrazolopyrimidine propanoic acid,C15H14N4O3,36,Cc1nn(-c2ccccc2)c2ncnc(OCCC(=O)O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-6.2521219789887965,-1.6514896323294723,4.600632346659324,6.2521219789887965,1.6514896323294723,3.9518058056591343,2.300316173329662,0.4347228487953983,-3.9518058056591343,3.394483181639391,0.18871192673574347,-0.5750790433324156,Fe(110),4.82,-27891.762960733326,-3.7629,neutral,gas,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine propanoic acid,C15H14N4O3,36,Cc1nn(-c2ccccc2)c2ncnc(OCCC(=O)O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.346666943300403,-1.6841694457574046,4.662497497542999,6.346666943300403,1.6841694457574046,4.015418194528904,2.3312487487714995,0.4289546538210352,-4.015418194528904,3.458143041460166,0.17256455491827888,-0.5828121871928749,Fe(110),4.82,-27892.13670570918,-3.9469,neutral,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine propanoic acid+H+,C15H15N4O3+,37,Cc1nn(-c2ccccc2)c2[nH+]cnc(OCCC(=O)O)c12,1,"B3LYP/6-311++G(d,p) (gas)",-10.08747306476799,-6.1086070960633485,3.978865968704641,10.08747306476799,6.1086070960633485,8.098040080415668,1.9894329843523204,0.5026557857768503,-8.098040080415668,16.48164418198994,-0.8238629062146735,-0.4973582460880801,Fe(110),4.82,-27901.78744293518,-4.0054,protonated,gas,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine propanoic acid+H+,C15H15N4O3+,37,Cc1nn(-c2ccccc2)c2[nH+]cnc(OCCC(=O)O)c12,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-7.202407324028932,-2.798291883476107,4.404115440552825,7.202407324028932,2.798291883476107,5.000349603752519,2.2020577202764127,0.45412070300976276,-5.000349603752519,5.677302626883327,-0.04095024442181298,-0.5505144300691032,Fe(110),4.82,-27903.86937819938,-4.3291,protonated,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine propanamide,C15H15N5O2,37,Cc1nn(-c2ccccc2)c2ncnc(OCCC(N)=O)c12,0,"B3LYP/6-311++G(d,p) (gas)",-6.202622315324505,-1.5819602601087566,4.620662055215749,6.202622315324505,1.5819602601087566,3.8922912877166307,2.3103310276078743,0.4328384062934063,-3.8922912877166307,3.2787360961258187,0.20077398026462095,-0.5775827569019686,Fe(110),4.82,-27350.919132360803,-3.9936,neutral,gas,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine propanamide,C15H15N5O2,37,Cc1nn(-c2ccccc2)c2ncnc(OCCC(N)=O)c12,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.333936782557192,-1.6647307253464259,4.669206057210766,6.333936782557192,1.6647307253464259,3.999333753951809,2.334603028605383,0.4283383460687824,-3.999333753951809,3.425565348695057,0.17576141125337935,-0.5836507571513457,Fe(110),4.82,-27351.398953060387,-4.1999,neutral,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine propanamide+H+,C15H16N5O2+,38,Cc1nn(-c2ccccc2)c2nc[nH+]c(OCCC(N)=O)c12,1,"B3LYP/6-311++G(d,p) (gas)",-9.349386917649188,-5.506387354806677,3.842999562842511,9.349386917649188,5.506387354806677,7.427887136227932,1.9214997814212555,0.5204268091356953,-7.427887136227932,14.35688617870432,-0.6786071904465645,-0.4803749453553139,Fe(110),4.82,-27360.837558813768,-4.1274,protonated,gas,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine propanamide+H+,C15H16N5O2+,38,Cc1nn(-c2ccccc2)c2nc[nH+]c(OCCC(N)=O)c12,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.937529547772489,-2.4118153202070265,4.525714227565462,6.937529547772489,2.4118153202070265,4.674672433989758,2.262857113782731,0.44191919759720866,-4.674672433989758,4.8285334129148,0.0321115206800008,-0.5657142784456828,Fe(110),4.82,-27363.05500898742,-4.4583,protonated,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine ethyl ester,C17H18N4O3,42,CCOC(=O)CCOc1ncnc2c1c(C)nn2-c1ccccc1,0,"B3LYP/6-311++G(d,p) (gas)",-6.209648273253474,-1.5956273904861464,4.614020882767328,6.209648273253474,1.5956273904861464,3.90263783186981,2.307010441383664,0.4334614105171692,-3.90263783186981,3.30093478848902,0.19882054967640042,-0.576752610345916,Fe(110),4.82,-30031.645533318464,-4.2588,neutral,gas,DFT-opt b3lyp/6-31G(d) (gas)
pyrazolopyrimidine ethyl ester,C17H18N4O3,42,CCOC(=O)CCOc1ncnc2c1c(C)nn2-c1ccccc1,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.336617215852651,-1.670098748406745,4.666518467445906,6.336617215852651,1.670098748406745,4.003357982129698,2.333259233722953,0.4285850391361778,-4.003357982129698,3.434439453071199,0.17500027559459538,-0.5833148084307382,Fe(110),4.82,-30031.975277546553,-4.4324,neutral,aqueous,DFT-opt b3lyp/6-31G(d) (gas)
