name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry
pyrazolylnucleoside methyl,C17H19N3O3,42,Cc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)O2)cc1,0,B3LYP/def2-SVP (gas),-6.915896357241972,-0.827173206310802,6.08872315093117,6.915896357241972,0.827173206310802,3.871534781776387,3.044361575465585,0.3284760943177607,-3.871534781776387,2.461728213773696,0.17548264089823318,-0.7610903938663962,Cu(111),4.94,-28527.07804134517,-2.0452,neutral,gas,FF (MMFF)
pyrazolylnucleoside methyl,C17H19N3O3,42,Cc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)O2)cc1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.7092686903648,-0.5383776996875635,6.170890990677236,6.7092686903648,0.5383776996875635,3.6238231950261817,3.085445495338618,0.32410230597518724,-3.6238231950261817,2.128071062776715,0.21328796878153447,-0.7713613738346545,Cu(111),4.94,-28527.593019891425,-2.1252,neutral,aqueous,FF (MMFF)
pyrazolylnucleoside methyl+H+,C17H20N3O3+,43,Cc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)[OH+]2)cc1,1,B3LYP/def2-SVP (gas),-9.722838110532456,-4.232746082802024,5.490092027730432,9.722838110532456,4.232746082802024,6.9777920966672395,2.745046013865216,0.3642926183929173,-6.9777920966672395,8.868627756762713,-0.3711763093176507,-0.686261503466304,Cu(111),4.94,-28536.312901884936,-1.6991,protonated,gas,FF (MMFF)
pyrazolylnucleoside methyl+H+,C17H20N3O3+,43,Cc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)[OH+]2)cc1,1,B3LYP/def2-SVP (ddCOSMO:water),-6.9182921728998075,-1.2650449128681494,5.653247260031658,6.9182921728998075,1.2650449128681494,4.091668542883978,2.826623630015829,0.3537789712719553,-4.091668542883978,2.9614398052584994,0.15006091509807262,-0.7066559075039572,Cu(111),4.94,-28538.45943208628,-1.7969,protonated,aqueous,FF (MMFF)
pyrazolylnucleoside methoxy,C17H19N3O4,43,COc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)O2)cc1,0,B3LYP/def2-SVP (gas),-6.551849984712826,-0.8880897117601303,5.663760272952695,6.551849984712826,0.8880897117601303,3.7199698482364782,2.8318801364763475,0.35312229042443877,-3.7199698482364782,2.4432841442588553,0.21540992078880528,-0.7079700341190869,Cu(111),4.94,-30572.34724360195,-2.3964,neutral,gas,FF (MMFF)
pyrazolylnucleoside methoxy,C17H19N3O4,43,COc1ccc(-c2cc(CC#N)nn2C2CC(O)C(CO)O2)cc1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.33071791830358,-0.6957080058406474,5.635009912462932,6.33071791830358,0.6957080058406474,3.5132129620721138,2.817504956231466,0.35492395418446504,-3.5132129620721138,2.1903537897197456,0.25320044864025293,-0.7043762390578665,Cu(111),4.94,-30572.9396307894,-2.4773,neutral,aqueous,FF (MMFF)
pyrazolylnucleoside methoxy+H+,C17H20N3O4+,44,COc1ccc(-c2cc(CC#N)nn2C2CC([OH2+])C(CO)O2)cc1,1,B3LYP/def2-SVP (gas),-8.888492227576176,-3.857689840413554,5.0308023871626215,8.888492227576176,3.857689840413554,6.373091033994865,2.5154011935813108,0.3975508966727676,-6.373091033994865,8.073521120851137,-0.2848633127891811,-0.6288502983953277,Cu(111),4.94,-30582.65063597835,-2.0335,protonated,gas,FF (MMFF)
pyrazolylnucleoside methoxy+H+,C17H20N3O4+,44,COc1ccc(-c2cc(CC#N)nn2C2CC([OH2+])C(CO)O2)cc1,1,B3LYP/def2-SVP (ddCOSMO:water),-6.4828564440502445,-1.0264219907177632,5.456434453332482,6.4828564440502445,1.0264219907177632,3.7546392173840037,2.728217226666241,0.36653972793139905,-3.7546392173840037,2.583613121955148,0.21724090938030885,-0.6820543066665602,Cu(111),4.94,-30584.629247392997,-2.1425,protonated,aqueous,FF (MMFF)
pyrazolylnucleoside fluoro,C16H16FN3O3,39,N#CCc1cc(-c2ccc(F)cc2)n(C2CC(O)C(CO)O2)n1,0,B3LYP/def2-SVP (gas),-6.642078086801202,-0.9422212831896157,5.699856803611587,6.642078086801202,0.9422212831896157,3.792149684995409,2.8499284018057933,0.35088600800159486,-3.792149684995409,2.5229404402403515,0.2013823074076671,-0.7124821004514483,Cu(111),4.94,-30156.397335245318,-2.1796,neutral,gas,FF (MMFF)
pyrazolylnucleoside fluoro,C16H16FN3O3,39,N#CCc1cc(-c2ccc(F)cc2)n(C2CC(O)C(CO)O2)n1,0,B3LYP/def2-SVP (ddCOSMO:water),-6.626478505325721,-0.8887198670637865,5.737758638261935,6.626478505325721,0.8887198670637865,3.7575991861947537,2.8688793191309676,0.34856816504324656,-3.7575991861947537,2.4608131039071606,0.20607364100686815,-0.7172198297827419,Cu(111),4.94,-30156.93366684403,-2.2623,neutral,aqueous,FF (MMFF)
