name,formula,n_atoms,smiles,charge,level,homo_ev,lumo_ev,gap_ev,ip_ev,ea_ev,electronegativity_ev,hardness_ev,softness_inv_ev,chemical_potential_ev,electrophilicity_ev,delta_n,back_donation_ev,metal,phi_metal_ev,e_total_ev,tnc,form,phase,geometry
tetrazole,CH2N4,7,c1nn[nH]n1,0,"B3LYP/6-311++G(d,p) (gas)",-8.67088879376625,-1.5963748109003022,7.074513982865948,8.67088879376625,1.5963748109003022,5.1336318023332765,3.537256991432974,0.2827049327832104,-5.1336318023332765,3.725227704087638,-0.02737033283166036,-0.8843142478582435,Cu(111),4.94,-7029.453087247382,-0.5599,neutral,gas,FF (MMFF)
tetrazole,CH2N4,7,c1nn[nH]n1,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-8.755070663783385,-1.5724246907141244,7.182645973069262,8.755070663783385,1.5724246907141244,5.163747677248755,3.591322986534631,0.27844891805872585,-5.163747677248755,3.7123213609953023,-0.031151149324034316,-0.8978307466336577,Cu(111),4.94,-7029.739976169302,-0.6077,neutral,aqueous,FF (MMFF)
tetrazole+H+,CH3N4+,8,c1n[nH]n[nH+]1,1,"B3LYP/6-311++G(d,p) (gas)",-15.650619907469533,-8.38397673270371,7.266643174765823,15.650619907469533,8.38397673270371,12.01729832008662,3.6333215873829117,0.2752302475708741,-12.01729832008662,19.87375125497485,-0.9739432843851858,-0.9083303968457279,Cu(111),4.94,-7038.2651786816505,-0.2731,protonated,gas,FF (MMFF)
tetrazole+H+,CH3N4+,8,c1n[nH]n[nH+]1,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-10.732596300138818,-3.4568853983578953,7.275710901780922,10.732596300138818,3.4568853983578953,7.094740849248357,3.637855450890461,0.27488722779109426,-7.094740849248357,6.918272097049979,-0.2961553693290544,-0.9094638627226153,Cu(111),4.94,-7041.001763285013,-0.2994,protonated,aqueous,FF (MMFF)
5-aminotetrazole,CH3N5,9,Nc1nn[nH]n1,0,"B3LYP/6-311++G(d,p) (gas)",-6.802674043692995,-1.2061053617916846,5.59656868190131,6.802674043692995,1.2061053617916846,4.00438970274234,2.798284340950655,0.3573618253748553,-4.00438970274234,2.8651728948283544,0.1671757018337543,-0.6995710852376638,Cu(111),4.94,-8536.454312287799,-0.8681,neutral,gas,FF (MMFF)
5-aminotetrazole,CH3N5,9,Nc1nn[nH]n1,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.7839550107809545,-1.3286765862131102,5.455278424567844,6.7839550107809545,1.3286765862131102,4.056315798497033,2.727639212283922,0.3666174014130976,-4.056315798497033,3.0161059760098397,0.1619870028124131,-0.6819098030709805,Cu(111),4.94,-8536.81288935852,-1.0001,neutral,aqueous,FF (MMFF)
5-aminotetrazole+H+,CH4N5+,10,Nc1n[nH]n[nH+]1,1,"B3LYP/6-311++G(d,p) (gas)",-12.68263179682086,-7.729860899116591,4.952770897704269,12.68263179682086,7.729860899116591,10.206246347968726,2.4763854488521346,0.40381435792377335,-10.206246347968726,21.032158899921885,-1.0632929438367036,-0.6190963622130337,Cu(111),4.94,-8545.59795980815,-0.7925,protonated,gas,FF (MMFF)
5-aminotetrazole+H+,CH4N5+,10,Nc1n[nH]n[nH+]1,1,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-8.126809225505921,-3.1668806312784126,4.959928594227509,8.126809225505921,3.1668806312784126,5.6468449283921665,2.4799642971137543,0.4032316115049823,-5.6468449283921665,6.428894497073823,-0.1425111097798485,-0.6199910742784386,Cu(111),4.94,-8548.196755095727,-0.8434,protonated,aqueous,FF (MMFF)
5-phenyltetrazole,C7H6N4,17,c1ccc(-c2nn[nH]n2)cc1,0,"B3LYP/6-311++G(d,p) (gas)",-6.935783539885912,-1.656038699755461,5.2797448401304505,6.935783539885912,1.656038699755461,4.295911119820686,2.6398724200652253,0.3788061848743782,-4.295911119820686,3.4954061054478998,0.1219924257103683,-0.6599681050163063,Cu(111),4.94,-13318.490782999914,-3.0213,neutral,gas,FF (MMFF)
5-phenyltetrazole,C7H6N4,17,c1ccc(-c2nn[nH]n2)cc1,0,"B3LYP/6-311++G(d,p) (ddCOSMO:water)",-6.976800347604371,-1.68275238547992,5.294047962124451,6.976800347604371,1.68275238547992,4.329776366542146,2.6470239810622256,0.3777827504224988,-4.329776366542146,3.541139694689114,0.11526598131025953,-0.6617559952655564,Cu(111),4.94,-13318.776146720325,-3.0306,neutral,aqueous,FF (MMFF)
5-phenyltetrazole+H+,C7H7N4+,18,c1ccc(-c2n[nH]n[nH+]2)cc1,1,"B3LYP/6-311++G(d,p) (gas)",-11.083510115911476,-7.469767822977546,3.6137422929339307,11.083510115911476,7.469767822977546,9.27663896944451,1.8068711464669653,0.5534428960002671,-9.27663896944451,23.81354938831269,-1.2000410150784917,-0.45171778661674133,Cu(111),4.94,-13327.612650774649,-3.1209,protonated,gas,FF (MMFF)
