form,name,descriptor,ff,dft_opt,delta
neutral,kaempferol,gap_ev,4.146,3.69,-0.455
neutral,kaempferol,hardness_ev,2.073,1.845,-0.228
neutral,kaempferol,softness_inv_ev,0.482,0.542,0.06
neutral,kaempferol,delta_n,0.169,0.188,0.019
neutral,kaempferol,tnc,-4.422,-6.092,-1.67
neutral,quercetin,gap_ev,4.082,3.604,-0.478
neutral,quercetin,hardness_ev,2.041,1.802,-0.239
neutral,quercetin,softness_inv_ev,0.49,0.555,0.065
neutral,quercetin,delta_n,0.178,0.197,0.019
neutral,quercetin,tnc,-4.714,-6.552,-1.839
neutral,isorhamnetin,gap_ev,4.099,3.687,-0.412
neutral,isorhamnetin,hardness_ev,2.049,1.843,-0.206
neutral,isorhamnetin,softness_inv_ev,0.488,0.542,0.055
neutral,isorhamnetin,delta_n,0.21,0.233,0.023
neutral,isorhamnetin,tnc,-5.525,-6.85,-1.325
protonated,kaempferol,gap_ev,3.604,3.413,-0.191
protonated,kaempferol,hardness_ev,1.802,1.707,-0.095
protonated,kaempferol,softness_inv_ev,0.555,0.586,0.031
protonated,kaempferol,delta_n,-0.072,-0.022,0.05
protonated,kaempferol,tnc,-4.014,-4.205,-0.191
protonated,quercetin,gap_ev,3.344,3.263,-0.081
protonated,quercetin,hardness_ev,1.672,1.631,-0.04
protonated,quercetin,softness_inv_ev,0.598,0.613,0.015
protonated,quercetin,delta_n,-0.053,-0.008,0.045
protonated,quercetin,tnc,-4.438,-4.754,-0.316
protonated,isorhamnetin,gap_ev,3.132,3.008,-0.123
protonated,isorhamnetin,hardness_ev,1.566,1.504,-0.062
protonated,isorhamnetin,softness_inv_ev,0.639,0.665,0.026
protonated,isorhamnetin,delta_n,-0.013,0.018,0.031
protonated,isorhamnetin,tnc,-4.993,-7.044,-2.051
