name,descriptor,ff,dft_opt,delta
kaempferol,gap_ev,4.146,3.69,-0.455
kaempferol,hardness_ev,2.073,1.845,-0.228
kaempferol,softness_inv_ev,0.482,0.542,0.06
kaempferol,delta_n,0.169,0.188,0.019
kaempferol,tnc,-4.422,-6.092,-1.67
quercetin,gap_ev,4.082,3.604,-0.478
quercetin,hardness_ev,2.041,1.802,-0.239
quercetin,softness_inv_ev,0.49,0.555,0.065
quercetin,delta_n,0.178,0.197,0.019
quercetin,tnc,-4.714,-6.552,-1.839
isorhamnetin,gap_ev,4.099,3.687,-0.412
isorhamnetin,hardness_ev,2.049,1.843,-0.206
isorhamnetin,softness_inv_ev,0.488,0.542,0.055
isorhamnetin,delta_n,0.21,0.233,0.023
isorhamnetin,tnc,-5.525,-6.85,-1.325
